window,scope,n,alignment,correlation,avg_return
pre_1d,all,19,0.3684,0.3664,0.016833
pre_3d,all,19,0.2632,0.3806,0.019756
pre_5d,all,19,0.2632,0.4755,0.020234
post_1d,all,19,0.2105,0.1572,0.003802
post_3d,all,19,0.3684,0.1209,0.006894
post_5d,all,19,0.2105,0.0403,0.004628
post_7d,all,19,0.2632,0.0379,0.008051
post_10d,all,19,0.2632,-0.0276,0.008574
post_15d,all,19,0.2632,0.0616,0.017380
post_30d,all,16,0.1875,0.0060,0.018760
pre_1d,non_neutral,10,0.7000,0.3780,0.024295
pre_3d,non_neutral,10,0.5000,0.2950,0.031989
pre_5d,non_neutral,10,0.5000,0.3105,0.040307
post_1d,non_neutral,10,0.4000,0.1783,0.005953
post_3d,non_neutral,10,0.7000,0.2585,0.004534
post_5d,non_neutral,10,0.4000,0.1490,0.001509
post_7d,non_neutral,10,0.5000,0.1196,0.005318
post_10d,non_neutral,10,0.5000,0.0898,0.002594
post_15d,non_neutral,10,0.5000,0.1521,0.015578
post_30d,non_neutral,8,0.3750,0.3150,0.005218
